Date,Time,Volume_Sensor_2003,Volume_Sensor_2004,Volume_Sensor_2005,Volume_Sensor_2006
02/10/15,1545,737,947,881,643
02/08/15,1315,740,1184,882,555
02/06/15,1145,741,695,1182,586
02/04/15,1030,741,965,958,618
02/08/15,1330,741,1231,830,571
02/04/15,1245,742,624,1117,820
02/06/15,1400,742,711,789,717
02/05/15,1200,743,1221,823,663
02/05/15,1415,746,1148,926,735
02/05/15,1230,748,1264,913,531
02/08/15,1600,749,535,839,1159
02/10/15,1500,756,1165,1085,599
02/03/15,1200,756,541,938,595
02/03/15,930,756,965,916,498
02/03/15,1245,756,1043,864,645
02/03/15,1130,758,488,823,619
02/06/15,1300,759,1149,761,639
02/04/15,1145,759,957,458,1164
02/06/15,1315,760,939,733,680
02/04/15,1200,760,1026,600,785
02/03/15,1145,761,495,950,648
02/04/15,1300,771,1129,1005,733
02/09/15,1045,771,787,953,1083
02/06/15,1415,771,705,819,776
02/06/15,1115,772,807,910,488
02/04/15,1000,772,1006,871,534
02/03/15,1115,778,602,1173,562
02/06/15,1215,780,672,1213,516
02/04/15,1100,780,983,472,653
02/03/15,1715,781,1054,914,627
02/06/15,915,781,872,835,740
02/06/15,1100,788,832,951,577
02/04/15,945,788,973,923,515
02/05/15,1430,789,1242,1085,781
02/08/15,1430,789,437,633,581
02/08/15,1415,790,312,605,557
02/03/15,915,795,1099,1233,468
02/06/15,930,795,770,944,473
02/03/15,1730,795,1097,829,615
02/08/15,1515,801,514,765,809
02/04/15,930,802,941,976,544
02/06/15,1045,802,896,912,500
02/05/15,1500,805,630,913,816
02/03/15,1230,807,1002,917,657
02/03/15,1215,808,613,986,608
02/06/15,1030,811,962,935,473
02/04/15,915,811,1304,848,613
02/10/15,1515,815,1155,897,433
02/03/15,1300,815,1147,786,678
02/06/15,1000,821,1074,902,452
02/03/15,1800,821,1149,720,559
02/08/15,1545,827,572,818,1270
02/08/15,1500,828,505,593,643
02/05/15,1445,829,640,897,877
02/05/15,1515,835,678,881,637
02/08/15,1400,836,1190,725,572
02/06/15,1130,845,756,958,557
02/04/15,1015,845,925,953,600
02/03/15,1045,848,577,643,545
02/04/15,900,849,1249,1116,536
02/06/15,1015,849,1058,900,539
02/06/15,945,850,1158,894,672
02/03/15,1745,850,1085,800,534
02/03/15,945,867,809,938,530
02/03/15,1000,870,723,986,495
02/03/15,1015,898,827,1071,506
02/05/15,1530,975,756,910,694
02/03/15,1100,989,567,913,579
02/03/15,1030,990,713,1293,541
